paymentId,orderId,customerId,amount,currency,paymentDate,paymentMethod,status,gateway,description
PAY-100022,ORD-500022,CUS-200022,31671.24,INR,2026-07-17T02:38:07.674Z,CARD,SUCCESS,SyntheticPay,Order ORD-500022 payment
PAY-100023,ORD-500023,CUS-200023,64833.22,INR,2026-07-29T22:31:41.060Z,CARD,SUCCESS,PayGateway,Order ORD-500023 payment
PAY-100024,ORD-500024,CUS-200024,70102.91,INR,2026-08-06T19:36:30.867Z,UPI,SUCCESS,PayGateway,Order ORD-500024 payment
PAY-100025,ORD-500025,CUS-200025,41890.32,INR,2026-07-15T08:38:59.233Z,WALLET,SUCCESS,QuickPay,Order ORD-500025 payment
PAY-100026,ORD-500026,CUS-200026,57178.67,INR,2026-07-02T13:07:29.951Z,CARD,SUCCESS,PayGateway,Order ORD-500026 payment
PAY-100027,ORD-500027,CUS-200027,50270.82,INR,2026-08-29T18:36:07.625Z,NETBANKING,SUCCESS,QuickPay,Order ORD-500027 payment
PAY-100028,ORD-500028,CUS-200028,30950.02,INR,2026-08-11T19:28:49.670Z,UPI,SUCCESS,PayGateway,Order ORD-500028 payment
PAY-100029,ORD-500029,CUS-200029,46144.079999999994,INR,2026-08-29T07:29:38.193Z,UPI,SUCCESS,PayGateway,Order ORD-500029 payment
PAY-100030,ORD-500030,CUS-200030,30393.13,INR,2026-08-10T17:52:55.579Z,CARD,SUCCESS,SyntheticPay,Order ORD-500030 payment
PAY-100031,ORD-500031,CUS-200031,72139.35,INR,2026-07-03T02:10:08.175Z,WALLET,SUCCESS,QuickPay,Order ORD-500031 payment
PAY-100032,ORD-500032,CUS-200032,90420.52,INR,2026-08-02T18:03:25.324Z,WALLET,SUCCESS,QuickPay,Order ORD-500032 payment
PAY-100033,ORD-500033,CUS-200033,62138.47,INR,2026-07-04T07:54:26.452Z,NETBANKING,SUCCESS,PayGateway,Order ORD-500033 payment
PAY-100034,ORD-500034,CUS-200034,25027.6,INR,2026-07-02T11:14:07.723Z,WALLET,SUCCESS,PayGateway,Order ORD-500034 payment
PAY-100035,ORD-500035,CUS-200035,35329.59,INR,2026-08-04T19:41:45.563Z,UPI,SUCCESS,PayGateway,Order ORD-500035 payment
PAY-100036,ORD-500036,CUS-200036,58999.23,INR,2026-07-09T13:43:47.697Z,UPI,SUCCESS,SyntheticPay,Order ORD-500036 payment
PAY-100037,ORD-500037,CUS-200037,28317.07,INR,2026-07-27T05:40:57.731Z,WALLET,SUCCESS,QuickPay,Order ORD-500037 payment
PAY-100038,ORD-500038,CUS-200038,59901.97,INR,2026-08-12T17:25:04.471Z,CARD,SUCCESS,QuickPay,Order ORD-500038 payment
PAY-100039,ORD-500039,CUS-200039,88226.76,INR,2026-08-09T23:25:25.147Z,NETBANKING,SUCCESS,PayGateway,Order ORD-500039 payment
PAY-100040,ORD-500040,CUS-200040,27821.54,INR,2026-07-15T05:42:34.840Z,UPI,SUCCESS,PayGateway,Order ORD-500040 payment
PAY-100041,ORD-500041,CUS-200041,44188.91,INR,2026-08-09T06:57:41.597Z,WALLET,SUCCESS,SyntheticPay,Order ORD-500041 payment
PAY-100042,ORD-500042,CUS-200042,69291.29,INR,2026-07-22T14:32:32.691Z,NETBANKING,SUCCESS,PayGateway,Order ORD-500042 payment
PAY-100043,ORD-500043,CUS-200043,75388.51,INR,2026-07-17T16:08:24.441Z,WALLET,SUCCESS,QuickPay,Order ORD-500043 payment
PAY-100044,ORD-500044,CUS-200044,79564.57,INR,2026-07-10T21:05:30.288Z,NETBANKING,SUCCESS,PayGateway,Order ORD-500044 payment
PAY-100045,ORD-500045,CUS-200045,69793.01,INR,2026-07-27T16:21:52.797Z,UPI,SUCCESS,QuickPay,Order ORD-500045 payment
PAY-100046,ORD-500046,CUS-200046,22831.43,INR,2026-08-29T09:43:36.287Z,NETBANKING,SUCCESS,PayGateway,Order ORD-500046 payment
PAY-100047,ORD-500047,CUS-200047,11954.06,INR,2026-08-04T20:45:39.641Z,WALLET,SUCCESS,SyntheticPay,Order ORD-500047 payment
PAY-100048,ORD-500048,CUS-200048,15435.55,INR,2026-08-29T00:45:29.742Z,WALLET,SUCCESS,SyntheticPay,Order ORD-500048 payment
PAY-100049,ORD-500049,CUS-200049,22465.53,INR,2026-08-23T00:51:52.476Z,WALLET,SUCCESS,QuickPay,Order ORD-500049 payment
PAY-100050,ORD-500050,CUS-200050,9230.43,INR,2026-08-26T18:14:28.803Z,NETBANKING,SUCCESS,PayGateway,Order ORD-500050 payment
PAY-100051,ORD-500051,CUS-200051,89089.22,INR,2026-08-16T04:05:19.016Z,CARD,SUCCESS,QuickPay,Order ORD-500051 payment
PAY-100052,ORD-500052,CUS-200052,23893.32,INR,2026-08-06T07:59:27.123Z,UPI,SUCCESS,SyntheticPay,Order ORD-500052 payment
PAY-100053,ORD-500053,CUS-200053,42424.79,INR,2026-08-18T09:46:31.258Z,NETBANKING,SUCCESS,SyntheticPay,Order ORD-500053 payment
PAY-100054,ORD-500054,CUS-200054,23109.06,INR,2026-08-19T17:33:20.425Z,WALLET,SUCCESS,PayGateway,Order ORD-500054 payment
PAY-100055,ORD-500055,CUS-200055,43446.88,INR,2026-07-07T10:07:33.188Z,WALLET,SUCCESS,SyntheticPay,Order ORD-500055 payment
PAY-100056,ORD-500056,CUS-200056,44913.85,INR,2026-07-23T05:40:10.003Z,NETBANKING,SUCCESS,SyntheticPay,Order ORD-500056 payment
PAY-100057,ORD-500057,CUS-200057,23252.19,INR,2026-08-16T13:14:04.207Z,UPI,SUCCESS,QuickPay,Order ORD-500057 payment
PAY-100058,ORD-500058,CUS-200058,18469.02,INR,2026-07-21T01:09:29.343Z,WALLET,SUCCESS,QuickPay,Order ORD-500058 payment
PAY-100059,ORD-500059,CUS-200059,46297.75,INR,2026-08-17T20:19:12.281Z,CARD,SUCCESS,QuickPay,Order ORD-500059 payment
PAY-100060,ORD-500060,CUS-200060,4185.69,INR,2026-07-06T13:55:54.407Z,NETBANKING,SUCCESS,SyntheticPay,Order ORD-500060 payment
PAY-100061,ORD-500061,CUS-200061,25961.42,INR,2026-08-12T11:33:07.665Z,UPI,SUCCESS,QuickPay,Order ORD-500061 payment
PAY-100062,ORD-500062,CUS-200062,18062.28,INR,2026-08-14T23:01:27.496Z,UPI,SUCCESS,PayGateway,Order ORD-500062 payment
PAY-100063,ORD-500063,CUS-200063,98160.99,INR,2026-07-28T00:06:39.938Z,NETBANKING,SUCCESS,QuickPay,Order ORD-500063 payment
PAY-100064,ORD-500064,CUS-200064,19696.48,INR,2026-08-01T02:10:08.996Z,NETBANKING,SUCCESS,QuickPay,Order ORD-500064 payment
PAY-100065,ORD-500065,CUS-200065,23522.95,INR,2026-08-23T13:48:07.961Z,NETBANKING,SUCCESS,SyntheticPay,Order ORD-500065 payment
PAY-100066,ORD-500066,CUS-200066,92909.8,INR,2026-08-10T09:36:30.684Z,NETBANKING,SUCCESS,QuickPay,Order ORD-500066 payment
PAY-100067,ORD-500067,CUS-200067,34639.43,INR,2026-08-16T21:09:34.228Z,NETBANKING,SUCCESS,SyntheticPay,Order ORD-500067 payment
PAY-100068,ORD-500068,CUS-200068,8031.83,INR,2026-08-23T03:13:58.619Z,NETBANKING,SUCCESS,QuickPay,Order ORD-500068 payment
PAY-100069,ORD-500069,CUS-200069,45086.17,INR,2026-07-08T18:01:51.996Z,UPI,SUCCESS,PayGateway,Order ORD-500069 payment
PAY-100070,ORD-500070,CUS-200070,51193.3,INR,2026-07-14T10:14:03.067Z,UPI,SUCCESS,SyntheticPay,Order ORD-500070 payment
PAY-100071,ORD-500071,CUS-200071,76339.1,INR,2026-07-29T18:37:45.408Z,CARD,SUCCESS,QuickPay,Order ORD-500071 payment
PAY-100072,ORD-500072,CUS-200072,39297.98,INR,2026-08-23T07:43:37.243Z,CARD,SUCCESS,PayGateway,Order ORD-500072 payment
PAY-100073,ORD-500073,CUS-200073,15916.15,INR,2026-07-13T11:27:29.711Z,CARD,SUCCESS,SyntheticPay,Order ORD-500073 payment
PAY-100074,ORD-500074,CUS-200074,99318.4,INR,2026-08-17T02:45:26.031Z,WALLET,SUCCESS,PayGateway,Order ORD-500074 payment
PAY-100075,ORD-500075,CUS-200075,82527.64,INR,2026-07-24T20:54:00.585Z,WALLET,SUCCESS,PayGateway,Order ORD-500075 payment
PAY-100076,ORD-500076,CUS-200076,22553.5,INR,2026-07-19T18:15:40.259Z,WALLET,SUCCESS,PayGateway,Order ORD-500076 payment
PAY-100077,ORD-500077,CUS-200077,12637.49,INR,2026-08-18T15:02:38.413Z,WALLET,SUCCESS,PayGateway,Order ORD-500077 payment
PAY-100078,ORD-500078,CUS-200078,66622.55,INR,2026-08-19T09:22:41.423Z,CARD,SUCCESS,PayGateway,Order ORD-500078 payment
PAY-100079,ORD-500079,CUS-200079,88761.47,INR,2026-08-11T15:05:05.231Z,CARD,SUCCESS,PayGateway,Order ORD-500079 payment
PAY-100080,ORD-500080,CUS-200080,15511.85,INR,2026-07-04T01:32:26.162Z,NETBANKING,SUCCESS,SyntheticPay,Order ORD-500080 payment
PAY-100081,ORD-500081,CUS-200081,79952.14,INR,2026-08-09T10:47:58.990Z,NETBANKING,SUCCESS,SyntheticPay,Order ORD-500081 payment
PAY-100082,ORD-500082,CUS-200082,4976.29,INR,2026-08-14T11:28:39.177Z,WALLET,SUCCESS,PayGateway,Order ORD-500082 payment
PAY-100083,ORD-500083,CUS-200083,38386.23,INR,2026-07-18T09:43:31.579Z,WALLET,SUCCESS,SyntheticPay,Order ORD-500083 payment
PAY-100084,ORD-500084,CUS-200084,92649.89,INR,2026-07-20T10:09:57.604Z,CARD,SUCCESS,QuickPay,Order ORD-500084 payment
PAY-100085,ORD-500085,CUS-200085,78673.64,INR,2026-08-10T04:12:54.001Z,CARD,SUCCESS,SyntheticPay,Order ORD-500085 payment
PAY-100086,ORD-500086,CUS-200086,4501.09,INR,2026-08-01T22:20:59.302Z,CARD,SUCCESS,QuickPay,Order ORD-500086 payment
PAY-100087,ORD-500087,CUS-200087,39390.25,INR,2026-07-08T22:02:43.906Z,CARD,SUCCESS,PayGateway,Order ORD-500087 payment
PAY-100088,ORD-500088,CUS-200088,19133.81,INR,2026-07-19T08:01:11.823Z,WALLET,SUCCESS,PayGateway,Order ORD-500088 payment
PAY-100089,ORD-500089,CUS-200089,59894.81,INR,2026-07-05T00:10:37.630Z,WALLET,SUCCESS,SyntheticPay,Order ORD-500089 payment
PAY-100090,ORD-500090,CUS-200090,88602.48,INR,2026-08-09T10:42:38.251Z,CARD,SUCCESS,SyntheticPay,Order ORD-500090 payment
PAY-100091,ORD-500091,CUS-200091,5565.76,INR,2026-08-17T11:07:50.675Z,CARD,SUCCESS,SyntheticPay,Order ORD-500091 payment
PAY-100092,ORD-500092,CUS-200092,7148.25,INR,2026-08-04T19:06:50.452Z,CARD,SUCCESS,SyntheticPay,Order ORD-500092 payment
PAY-100093,ORD-500093,CUS-200093,86681.11,INR,2026-08-29T12:45:27.530Z,NETBANKING,SUCCESS,QuickPay,Order ORD-500093 payment
PAY-100094,ORD-500094,CUS-200094,77491.6,INR,2026-08-04T21:51:09.660Z,UPI,SUCCESS,PayGateway,Order ORD-500094 payment
PAY-100095,ORD-500095,CUS-200095,63407.53,INR,2026-07-29T00:24:53.554Z,UPI,SUCCESS,PayGateway,Order ORD-500095 payment
PAY-100096,ORD-500096,CUS-200096,58503.78,INR,2026-08-26T01:46:18.693Z,CARD,SUCCESS,SyntheticPay,Order ORD-500096 payment
PAY-100097,ORD-500097,CUS-200097,48142.85,INR,2026-08-23T19:14:28.523Z,NETBANKING,SUCCESS,PayGateway,Order ORD-500097 payment
PAY-100098,ORD-500098,CUS-200098,33643.9,INR,2026-08-19T09:19:29.469Z,WALLET,SUCCESS,QuickPay,Order ORD-500098 payment
PAY-100099,ORD-500099,CUS-200099,34253.48,INR,2026-08-12T14:50:43.328Z,CARD,SUCCESS,PayGateway,Order ORD-500099 payment
PAY-100100,ORD-500100,CUS-200100,17958.79,INR,2026-07-31T08:01:23.875Z,CARD,SUCCESS,PayGateway,Order ORD-500100 payment
PAY-100101,ORD-500101,CUS-200101,35026.74,INR,2026-08-28T14:46:18.198Z,CARD,SUCCESS,PayGateway,Order ORD-500101 payment
PAY-100102,ORD-500102,CUS-200102,29518.2,INR,2026-07-25T00:00:35.409Z,NETBANKING,SUCCESS,SyntheticPay,Order ORD-500102 payment
PAY-100103,ORD-500103,CUS-200103,22447.22,INR,2026-08-30T16:06:12.659Z,UPI,SUCCESS,QuickPay,Order ORD-500103 payment
PAY-100104,ORD-500104,CUS-200104,89066.64,INR,2026-07-25T18:05:03.384Z,NETBANKING,SUCCESS,PayGateway,Order ORD-500104 payment
PAY-100105,ORD-500105,CUS-200105,75148.97,INR,2026-07-15T17:59:24.361Z,NETBANKING,SUCCESS,QuickPay,Order ORD-500105 payment
PAY-100106,ORD-500106,CUS-200106,834.63,INR,2026-07-07T21:28:30.878Z,NETBANKING,SUCCESS,SyntheticPay,Order ORD-500106 payment
PAY-100107,ORD-500107,CUS-200107,69376.96,INR,2026-07-16T01:15:15.740Z,WALLET,SUCCESS,SyntheticPay,Order ORD-500107 payment
PAY-100108,ORD-500108,CUS-200108,90834.06,INR,2026-07-08T21:47:51.967Z,NETBANKING,SUCCESS,PayGateway,Order ORD-500108 payment
PAY-100109,ORD-500109,CUS-200109,45153.65,INR,2026-08-29T04:02:24.382Z,UPI,SUCCESS,SyntheticPay,Order ORD-500109 payment
PAY-100110,ORD-500110,CUS-200110,74352.36,INR,2026-08-30T18:28:23.175Z,CARD,SUCCESS,QuickPay,Order ORD-500110 payment
PAY-100111,ORD-500111,CUS-200111,55020.61,INR,2026-08-24T04:12:04.822Z,WALLET,SUCCESS,PayGateway,Order ORD-500111 payment
PAY-100112,ORD-500112,CUS-200112,54151.71,INR,2026-07-28T12:54:38.412Z,CARD,SUCCESS,QuickPay,Order ORD-500112 payment
PAY-100113,ORD-500113,CUS-200113,6672.21,INR,2026-08-15T11:18:56.394Z,UPI,SUCCESS,PayGateway,Order ORD-500113 payment
PAY-100114,ORD-500114,CUS-200114,83623.8,INR,2026-08-19T15:27:46.118Z,CARD,SUCCESS,PayGateway,Order ORD-500114 payment
PAY-100115,ORD-500115,CUS-200115,54601.67,INR,2026-08-26T09:19:13.604Z,WALLET,SUCCESS,SyntheticPay,Order ORD-500115 payment
PAY-100116,ORD-500116,CUS-200116,86632.84,INR,2026-08-15T00:03:41.601Z,NETBANKING,SUCCESS,PayGateway,Order ORD-500116 payment
PAY-100117,ORD-500117,CUS-200117,36320.85,INR,2026-07-17T02:19:32.389Z,UPI,SUCCESS,QuickPay,Order ORD-500117 payment
PAY-100118,ORD-500118,CUS-200118,15663.46,INR,2026-08-07T20:01:57.042Z,NETBANKING,SUCCESS,PayGateway,Order ORD-500118 payment
PAY-100119,ORD-500119,CUS-200119,84549.63,INR,2026-07-21T08:38:57.513Z,UPI,SUCCESS,PayGateway,Order ORD-500119 payment
PAY-100120,ORD-500120,CUS-200120,56870.99,INR,2026-08-15T00:21:15.939Z,CARD,SUCCESS,PayGateway,Order ORD-500120 payment
PAY-100121,ORD-500121,CUS-200121,44954.95,INR,2026-08-15T01:03:03.175Z,CARD,SUCCESS,QuickPay,Order ORD-500121 payment
PAY-100122,ORD-500122,CUS-200122,44572.27,INR,2026-08-06T08:05:38.160Z,CARD,SUCCESS,QuickPay,Order ORD-500122 payment
PAY-100123,ORD-500123,CUS-200123,92522.07,INR,2026-08-02T08:00:20.852Z,UPI,SUCCESS,SyntheticPay,Order ORD-500123 payment
PAY-100124,ORD-500124,CUS-200124,73702.72,INR,2026-07-18T11:23:36.164Z,UPI,SUCCESS,SyntheticPay,Order ORD-500124 payment
PAY-100125,ORD-500125,CUS-200125,5986.67,INR,2026-07-21T03:10:05.208Z,UPI,SUCCESS,QuickPay,Order ORD-500125 payment
PAY-100126,ORD-500126,CUS-200126,50648.34,INR,2026-08-13T01:43:32.308Z,WALLET,SUCCESS,PayGateway,Order ORD-500126 payment
PAY-100127,ORD-500127,CUS-200127,81010.36,INR,2026-08-21T09:24:40.820Z,NETBANKING,SUCCESS,QuickPay,Order ORD-500127 payment
PAY-100128,ORD-500128,CUS-200128,63736.16,INR,2026-08-03T11:39:11.523Z,CARD,SUCCESS,PayGateway,Order ORD-500128 payment
PAY-100129,ORD-500129,CUS-200129,38632.93,INR,2026-07-11T01:30:59.311Z,CARD,SUCCESS,QuickPay,Order ORD-500129 payment
PAY-100130,ORD-500130,CUS-200130,32018.08,INR,2026-08-27T16:32:23.062Z,CARD,SUCCESS,PayGateway,Order ORD-500130 payment
PAY-100131,ORD-500131,CUS-200131,61646.66,INR,2026-07-14T03:11:38.411Z,NETBANKING,SUCCESS,QuickPay,Order ORD-500131 payment
PAY-100132,ORD-500132,CUS-200132,72081.52,INR,2026-08-12T21:03:39.326Z,CARD,SUCCESS,PayGateway,Order ORD-500132 payment
PAY-100133,ORD-500133,CUS-200133,16735.91,INR,2026-08-16T19:10:51.255Z,WALLET,SUCCESS,PayGateway,Order ORD-500133 payment
PAY-100134,ORD-500134,CUS-200134,51082.61,INR,2026-07-11T21:26:49.229Z,WALLET,SUCCESS,SyntheticPay,Order ORD-500134 payment
PAY-100135,ORD-500135,CUS-200135,83779,INR,2026-08-05T09:08:46.195Z,CARD,SUCCESS,QuickPay,Order ORD-500135 payment
PAY-100136,ORD-500136,CUS-200136,39094.31,INR,2026-07-12T19:39:47.875Z,UPI,SUCCESS,PayGateway,Order ORD-500136 payment
PAY-100137,ORD-500137,CUS-200137,97073.34,INR,2026-08-30T00:34:04.218Z,NETBANKING,SUCCESS,SyntheticPay,Order ORD-500137 payment
PAY-100138,ORD-500138,CUS-200138,79210.6,INR,2026-08-21T11:41:43.719Z,NETBANKING,SUCCESS,SyntheticPay,Order ORD-500138 payment
PAY-100139,ORD-500139,CUS-200139,88776.66,INR,2026-08-06T20:06:42.952Z,NETBANKING,SUCCESS,PayGateway,Order ORD-500139 payment
PAY-100140,ORD-500140,CUS-200140,28717.37,INR,2026-08-28T08:15:18.774Z,CARD,SUCCESS,SyntheticPay,Order ORD-500140 payment
PAY-100141,ORD-500141,CUS-200141,89550.71,INR,2026-08-14T16:50:53.126Z,UPI,SUCCESS,QuickPay,Order ORD-500141 payment
PAY-100142,ORD-500142,CUS-200142,28450.91,INR,2026-07-03T14:03:26.776Z,NETBANKING,SUCCESS,SyntheticPay,Order ORD-500142 payment
PAY-100143,ORD-500143,CUS-200143,74593.33,INR,2026-08-16T19:22:45.210Z,CARD,SUCCESS,QuickPay,Order ORD-500143 payment
PAY-100144,ORD-500144,CUS-200144,11095.519999999999,INR,2026-07-15T20:50:38.601Z,CARD,SUCCESS,SyntheticPay,Order ORD-500144 payment
PAY-100145,ORD-500145,CUS-200145,12242.58,INR,2026-07-10T00:08:30.860Z,UPI,SUCCESS,QuickPay,Order ORD-500145 payment
PAY-100146,ORD-500146,CUS-200146,84213.48,INR,2026-08-16T17:02:23.610Z,NETBANKING,SUCCESS,SyntheticPay,Order ORD-500146 payment
PAY-100147,ORD-500147,CUS-200147,78578.45,INR,2026-08-29T09:15:05.635Z,CARD,SUCCESS,SyntheticPay,Order ORD-500147 payment
PAY-100148,ORD-500148,CUS-200148,23707.59,INR,2026-08-28T00:49:29.971Z,CARD,SUCCESS,PayGateway,Order ORD-500148 payment
PAY-100149,ORD-500149,CUS-200149,3425.23,INR,2026-08-28T02:49:16.347Z,WALLET,SUCCESS,PayGateway,Order ORD-500149 payment
PAY-100150,ORD-500150,CUS-200150,79241.95,INR,2026-07-18T16:59:36.377Z,CARD,SUCCESS,PayGateway,Order ORD-500150 payment
PAY-100151,ORD-500151,CUS-200151,11316.63,INR,2026-07-09T18:10:28.303Z,NETBANKING,SUCCESS,PayGateway,Order ORD-500151 payment
PAY-100152,ORD-500152,CUS-200152,67700.77,INR,2026-08-05T10:44:31.958Z,UPI,SUCCESS,PayGateway,Order ORD-500152 payment
PAY-100153,ORD-500153,CUS-200153,85417.79,INR,2026-07-09T16:18:14.511Z,WALLET,SUCCESS,SyntheticPay,Order ORD-500153 payment
PAY-100154,ORD-500154,CUS-200154,70776.35,INR,2026-08-30T16:59:40.553Z,CARD,SUCCESS,SyntheticPay,Order ORD-500154 payment
PAY-100155,ORD-500155,CUS-200155,98549.81,INR,2026-07-31T11:47:30.860Z,UPI,SUCCESS,QuickPay,Order ORD-500155 payment
PAY-100156,ORD-500156,CUS-200156,8256.31,INR,2026-07-15T03:30:39.903Z,CARD,SUCCESS,PayGateway,Order ORD-500156 payment
PAY-100157,ORD-500157,CUS-200157,324.03,INR,2026-07-18T21:42:58.123Z,WALLET,SUCCESS,PayGateway,Order ORD-500157 payment
PAY-100158,ORD-500158,CUS-200158,12079.48,INR,2026-07-08T13:22:35.672Z,UPI,SUCCESS,QuickPay,Order ORD-500158 payment
PAY-100159,ORD-500159,CUS-200159,15911.79,INR,2026-07-30T23:18:23.531Z,NETBANKING,SUCCESS,SyntheticPay,Order ORD-500159 payment
PAY-100160,ORD-500160,CUS-200160,87404.54,INR,2026-07-16T20:58:34.597Z,UPI,SUCCESS,QuickPay,Order ORD-500160 payment
PAY-100161,ORD-500161,CUS-200161,62042.09,INR,2026-07-06T14:47:41.499Z,UPI,SUCCESS,QuickPay,Order ORD-500161 payment
PAY-100162,ORD-500162,CUS-200162,30875.19,INR,2026-07-16T10:47:00.448Z,UPI,SUCCESS,PayGateway,Order ORD-500162 payment
PAY-100163,ORD-500163,CUS-200163,20979.87,INR,2026-08-04T08:31:15.026Z,UPI,SUCCESS,PayGateway,Order ORD-500163 payment
PAY-100164,ORD-500164,CUS-200164,73350.83,INR,2026-07-31T11:40:50.831Z,WALLET,SUCCESS,SyntheticPay,Order ORD-500164 payment
PAY-100165,ORD-500165,CUS-200165,97784.21,INR,2026-08-24T17:24:36.092Z,WALLET,SUCCESS,PayGateway,Order ORD-500165 payment
PAY-100166,ORD-500166,CUS-200166,55022.16,INR,2026-07-30T16:37:22.263Z,CARD,SUCCESS,PayGateway,Order ORD-500166 payment
PAY-100167,ORD-500167,CUS-200167,19523.23,INR,2026-07-14T16:55:55.314Z,CARD,SUCCESS,QuickPay,Order ORD-500167 payment
PAY-100168,ORD-500168,CUS-200168,96314.97,INR,2026-07-12T01:43:15.324Z,UPI,SUCCESS,QuickPay,Order ORD-500168 payment
PAY-100169,ORD-500169,CUS-200169,70823.68,INR,2026-07-26T22:04:37.953Z,WALLET,SUCCESS,PayGateway,Order ORD-500169 payment
PAY-100170,ORD-500170,CUS-200170,48221.57,INR,2026-08-08T19:47:31.036Z,CARD,SUCCESS,QuickPay,Order ORD-500170 payment
PAY-100171,ORD-500171,CUS-200171,20302.83,INR,2026-07-08T04:15:25.268Z,CARD,SUCCESS,SyntheticPay,Order ORD-500171 payment
PAY-100172,ORD-500172,CUS-200172,50356.73,INR,2026-08-27T14:33:44.036Z,WALLET,SUCCESS,QuickPay,Order ORD-500172 payment
PAY-100173,ORD-500173,CUS-200173,7161.34,INR,2026-08-23T13:50:17.068Z,CARD,SUCCESS,PayGateway,Order ORD-500173 payment
PAY-100174,ORD-500174,CUS-200174,45632.07,INR,2026-08-25T12:33:07.463Z,WALLET,SUCCESS,SyntheticPay,Order ORD-500174 payment
PAY-100175,ORD-500175,CUS-200175,63152.42,INR,2026-07-03T09:45:43.193Z,WALLET,SUCCESS,PayGateway,Order ORD-500175 payment
PAY-100176,ORD-500176,CUS-200176,60248.63,INR,2026-08-05T05:41:28.838Z,CARD,SUCCESS,PayGateway,Order ORD-500176 payment
PAY-100177,ORD-500177,CUS-200177,70578.54,INR,2026-07-07T03:52:58.561Z,WALLET,SUCCESS,QuickPay,Order ORD-500177 payment
PAY-100178,ORD-500178,CUS-200178,3440.54,INR,2026-08-23T00:25:35.638Z,WALLET,SUCCESS,PayGateway,Order ORD-500178 payment
PAY-100179,ORD-500179,CUS-200179,27745.41,INR,2026-07-08T11:46:18.218Z,CARD,SUCCESS,PayGateway,Order ORD-500179 payment
PAY-100180,ORD-500180,CUS-200180,41931.76,INR,2026-07-24T11:58:43.575Z,NETBANKING,SUCCESS,PayGateway,Order ORD-500180 payment
PAY-100181,ORD-500181,CUS-200181,57119.07,INR,2026-08-05T15:17:25.794Z,CARD,SUCCESS,QuickPay,Order ORD-500181 payment
PAY-100182,ORD-500182,CUS-200182,912.03,INR,2026-08-10T22:59:50.043Z,UPI,SUCCESS,PayGateway,Order ORD-500182 payment
