invoiceId,orderId,customerId,invoiceAmount,invoiceDate,currency,status,description
INV-900031,ORD-500031,CUS-200031,72139.35,2026-07-02T20:10:08.175Z,INR,PAID,Invoice for order ORD-500031
INV-900032,ORD-500032,CUS-200032,90420.52,2026-08-01T21:03:25.324Z,INR,PAID,Invoice for order ORD-500032
INV-900033,ORD-500033,CUS-200033,62138.47,2026-07-03T16:54:26.452Z,INR,PAID,Invoice for order ORD-500033
INV-900034,ORD-500034,CUS-200034,25027.6,2026-07-01T13:14:07.723Z,INR,PAID,Invoice for order ORD-500034
INV-900035,ORD-500035,CUS-200035,35329.59,2026-08-04T08:41:45.563Z,INR,PAID,Invoice for order ORD-500035
INV-900036,ORD-500036,CUS-200036,58999.23,2026-07-08T23:43:47.697Z,INR,PAID,Invoice for order ORD-500036
INV-900037,ORD-500037,CUS-200037,28317.07,2026-07-26T22:40:57.731Z,INR,PAID,Invoice for order ORD-500037
INV-900038,ORD-500038,CUS-200038,59901.97,2026-08-12T13:25:04.471Z,INR,PAID,Invoice for order ORD-500038
INV-900039,ORD-500039,CUS-200039,88226.76,2026-08-09T17:25:25.147Z,INR,PAID,Invoice for order ORD-500039
INV-900040,ORD-500040,CUS-200040,27821.54,2026-07-14T06:42:34.840Z,INR,PAID,Invoice for order ORD-500040
INV-900041,ORD-500041,CUS-200041,44188.91,2026-08-08T17:57:41.597Z,INR,PAID,Invoice for order ORD-500041
INV-900042,ORD-500042,CUS-200042,69291.29,2026-07-22T11:32:32.691Z,INR,PAID,Invoice for order ORD-500042
INV-900043,ORD-500043,CUS-200043,75388.51,2026-07-17T10:08:24.441Z,INR,PAID,Invoice for order ORD-500043
INV-900044,ORD-500044,CUS-200044,79564.57,2026-07-10T04:05:30.288Z,INR,PAID,Invoice for order ORD-500044
INV-900045,ORD-500045,CUS-200045,69793.01,2026-07-27T02:21:52.797Z,INR,PAID,Invoice for order ORD-500045
INV-900046,ORD-500046,CUS-200046,22831.43,2026-08-29T04:43:36.287Z,INR,PAID,Invoice for order ORD-500046
INV-900047,ORD-500047,CUS-200047,11954.06,2026-08-04T13:45:39.641Z,INR,PAID,Invoice for order ORD-500047
INV-900048,ORD-500048,CUS-200048,15435.55,2026-08-28T15:45:29.742Z,INR,PAID,Invoice for order ORD-500048
INV-900049,ORD-500049,CUS-200049,22465.53,2026-08-22T14:51:52.476Z,INR,PAID,Invoice for order ORD-500049
INV-900050,ORD-500050,CUS-200050,9230.43,2026-08-26T01:14:28.803Z,INR,PAID,Invoice for order ORD-500050
INV-900051,ORD-500051,CUS-200051,89089.22,2026-08-15T05:05:19.016Z,INR,PAID,Invoice for order ORD-500051
INV-900052,ORD-500052,CUS-200052,23893.32,2026-08-06T04:59:27.123Z,INR,PAID,Invoice for order ORD-500052
INV-900053,ORD-500053,CUS-200053,42424.79,2026-08-17T21:46:31.258Z,INR,PAID,Invoice for order ORD-500053
INV-900054,ORD-500054,CUS-200054,23109.06,2026-08-19T01:33:20.425Z,INR,PAID,Invoice for order ORD-500054
INV-900055,ORD-500055,CUS-200055,43446.88,2026-07-07T02:07:33.188Z,INR,PAID,Invoice for order ORD-500055
INV-900056,ORD-500056,CUS-200056,44913.85,2026-07-22T09:40:10.003Z,INR,PAID,Invoice for order ORD-500056
INV-900057,ORD-500057,CUS-200057,23252.19,2026-08-15T18:14:04.207Z,INR,PAID,Invoice for order ORD-500057
INV-900058,ORD-500058,CUS-200058,18469.02,2026-07-20T17:09:29.343Z,INR,PAID,Invoice for order ORD-500058
INV-900059,ORD-500059,CUS-200059,46297.75,2026-08-17T11:19:12.281Z,INR,PAID,Invoice for order ORD-500059
INV-900060,ORD-500060,CUS-200060,4185.69,2026-07-06T12:55:54.407Z,INR,PAID,Invoice for order ORD-500060
INV-900061,ORD-500061,CUS-200061,25961.42,2026-08-12T00:33:07.665Z,INR,PAID,Invoice for order ORD-500061
INV-900062,ORD-500062,CUS-200062,18062.28,2026-08-14T19:01:27.496Z,INR,PAID,Invoice for order ORD-500062
INV-900063,ORD-500063,CUS-200063,98160.99,2026-07-27T10:06:39.938Z,INR,PAID,Invoice for order ORD-500063
INV-900064,ORD-500064,CUS-200064,19696.48,2026-08-01T00:10:08.996Z,INR,PAID,Invoice for order ORD-500064
INV-900065,ORD-500065,CUS-200065,23522.95,2026-08-22T14:48:07.961Z,INR,PAID,Invoice for order ORD-500065
INV-900066,ORD-500066,CUS-200066,92909.8,2026-08-10T01:36:30.684Z,INR,PAID,Invoice for order ORD-500066
INV-900067,ORD-500067,CUS-200067,34639.43,2026-08-16T12:09:34.228Z,INR,PAID,Invoice for order ORD-500067
INV-900068,ORD-500068,CUS-200068,7846.14,2026-08-22T15:13:58.619Z,INR,PAID,Invoice for order ORD-500068
INV-900069,ORD-500069,CUS-200069,45086.17,2026-07-08T11:01:51.996Z,INR,PAID,Invoice for order ORD-500069
INV-900070,ORD-500070,CUS-200070,51193.3,2026-07-14T06:14:03.067Z,INR,PAID,Invoice for order ORD-500070
INV-900071,ORD-500071,CUS-200071,76339.1,2026-07-29T06:37:45.408Z,INR,PAID,Invoice for order ORD-500071
INV-900072,ORD-500072,CUS-200072,39297.98,2026-08-22T09:43:37.243Z,INR,PAID,Invoice for order ORD-500072
INV-900073,ORD-500073,CUS-200073,15916.15,2026-07-13T03:27:29.711Z,INR,PAID,Invoice for order ORD-500073
INV-900074,ORD-500074,CUS-200074,99318.4,2026-08-17T00:45:26.031Z,INR,PAID,Invoice for order ORD-500074
INV-900075,ORD-500075,CUS-200075,82527.64,2026-07-24T17:54:00.585Z,INR,PAID,Invoice for order ORD-500075
INV-900076,ORD-500076,CUS-200076,22553.5,2026-07-19T16:15:40.259Z,INR,PAID,Invoice for order ORD-500076
INV-900077,ORD-500077,CUS-200077,12637.49,2026-08-17T17:02:38.413Z,INR,PAID,Invoice for order ORD-500077
INV-900078,ORD-500078,CUS-200078,66622.55,2026-08-19T02:22:41.423Z,INR,PAID,Invoice for order ORD-500078
INV-900079,ORD-500079,CUS-200079,88761.47,2026-08-11T12:05:05.231Z,INR,PAID,Invoice for order ORD-500079
INV-900080,ORD-500080,CUS-200080,15511.85,2026-07-03T11:32:26.162Z,INR,PAID,Invoice for order ORD-500080
INV-900081,ORD-500081,CUS-200081,79952.14,2026-08-09T05:47:58.990Z,INR,PAID,Invoice for order ORD-500081
INV-900082,ORD-500082,CUS-200082,4976.29,2026-08-14T02:28:39.177Z,INR,PAID,Invoice for order ORD-500082
INV-900083,ORD-500083,CUS-200083,38386.23,2026-07-17T17:43:31.579Z,INR,PAID,Invoice for order ORD-500083
INV-900084,ORD-500084,CUS-200084,92649.89,2026-07-19T13:09:57.604Z,INR,PAID,Invoice for order ORD-500084
INV-900085,ORD-500085,CUS-200085,78673.64,2026-08-09T11:12:54.001Z,INR,PAID,Invoice for order ORD-500085
INV-900086,ORD-500086,CUS-200086,4501.09,2026-08-01T06:20:59.302Z,INR,PAID,Invoice for order ORD-500086
INV-900087,ORD-500087,CUS-200087,39390.25,2026-07-08T19:02:43.906Z,INR,PAID,Invoice for order ORD-500087
INV-900088,ORD-500088,CUS-200088,19133.81,2026-07-18T22:01:11.823Z,INR,PAID,Invoice for order ORD-500088
INV-900089,ORD-500089,CUS-200089,59894.81,2026-07-04T02:10:37.630Z,INR,PAID,Invoice for order ORD-500089
INV-900090,ORD-500090,CUS-200090,88602.48,2026-08-08T23:42:38.251Z,INR,PAID,Invoice for order ORD-500090
INV-900091,ORD-500091,CUS-200091,5565.76,2026-08-17T01:07:50.675Z,INR,PAID,Invoice for order ORD-500091
INV-900092,ORD-500092,CUS-200092,7148.25,2026-08-04T01:06:50.452Z,INR,PAID,Invoice for order ORD-500092
INV-900093,ORD-500093,CUS-200093,86681.11,2026-08-29T07:45:27.530Z,INR,PAID,Invoice for order ORD-500093
INV-900094,ORD-500094,CUS-200094,77491.6,2026-08-04T01:51:09.660Z,INR,PAID,Invoice for order ORD-500094
INV-900095,ORD-500095,CUS-200095,63407.53,2026-07-28T21:24:53.554Z,INR,PAID,Invoice for order ORD-500095
INV-900096,ORD-500096,CUS-200096,58503.78,2026-08-25T13:46:18.693Z,INR,PAID,Invoice for order ORD-500096
INV-900097,ORD-500097,CUS-200097,48056.9,2026-08-22T23:14:28.523Z,INR,PAID,Invoice for order ORD-500097
INV-900098,ORD-500098,CUS-200098,33643.9,2026-08-19T04:19:29.469Z,INR,PAID,Invoice for order ORD-500098
INV-900099,ORD-500099,CUS-200099,34253.48,2026-08-12T01:50:43.328Z,INR,PAID,Invoice for order ORD-500099
INV-900100,ORD-500100,CUS-200100,17958.79,2026-07-30T13:01:23.875Z,INR,PAID,Invoice for order ORD-500100
INV-900101,ORD-500101,CUS-200101,35026.74,2026-08-27T22:46:18.198Z,INR,PAID,Invoice for order ORD-500101
INV-900102,ORD-500102,CUS-200102,29518.2,2026-07-24T07:00:35.409Z,INR,PAID,Invoice for order ORD-500102
INV-900103,ORD-500103,CUS-200103,22447.22,2026-08-30T12:06:12.659Z,INR,PAID,Invoice for order ORD-500103
INV-900104,ORD-500104,CUS-200104,89066.64,2026-07-25T11:05:03.384Z,INR,PAID,Invoice for order ORD-500104
INV-900105,ORD-500105,CUS-200105,75148.97,2026-07-15T01:59:24.361Z,INR,PAID,Invoice for order ORD-500105
INV-900106,ORD-500106,CUS-200106,834.63,2026-07-07T07:28:30.878Z,INR,PAID,Invoice for order ORD-500106
INV-900107,ORD-500107,CUS-200107,69376.96,2026-07-15T03:15:15.740Z,INR,PAID,Invoice for order ORD-500107
INV-900108,ORD-500108,CUS-200108,90834.06,2026-07-08T08:47:51.967Z,INR,PAID,Invoice for order ORD-500108
INV-900109,ORD-500109,CUS-200109,45153.65,2026-08-28T08:02:24.382Z,INR,PAID,Invoice for order ORD-500109
INV-900110,ORD-500110,CUS-200110,74085.01,2026-08-30T16:28:23.175Z,INR,PAID,Invoice for order ORD-500110
INV-900111,ORD-500111,CUS-200111,55020.61,2026-08-23T06:12:04.822Z,INR,PAID,Invoice for order ORD-500111
INV-900112,ORD-500112,CUS-200112,54151.71,2026-07-27T13:54:38.412Z,INR,PAID,Invoice for order ORD-500112
INV-900113,ORD-500113,CUS-200113,6672.21,2026-08-14T19:18:56.394Z,INR,PAID,Invoice for order ORD-500113
INV-900114,ORD-500114,CUS-200114,83623.8,2026-08-19T02:27:46.118Z,INR,PAID,Invoice for order ORD-500114
INV-900115,ORD-500115,CUS-200115,54601.67,2026-08-25T21:19:13.604Z,INR,PAID,Invoice for order ORD-500115
INV-900116,ORD-500116,CUS-200116,86632.84,2026-08-14T05:03:41.601Z,INR,PAID,Invoice for order ORD-500116
INV-900117,ORD-500117,CUS-200117,36320.85,2026-07-16T12:19:32.389Z,INR,PAID,Invoice for order ORD-500117
INV-900118,ORD-500118,CUS-200118,15663.46,2026-08-07T11:01:57.042Z,INR,PAID,Invoice for order ORD-500118
INV-900119,ORD-500119,CUS-200119,84235.72,2026-07-20T23:38:57.513Z,INR,PAID,Invoice for order ORD-500119
INV-900120,ORD-500120,CUS-200120,56870.99,2026-08-14T16:21:15.939Z,INR,PAID,Invoice for order ORD-500120
INV-900121,ORD-500121,CUS-200121,44954.95,2026-08-14T05:03:03.175Z,INR,PAID,Invoice for order ORD-500121
INV-900122,ORD-500122,CUS-200122,44572.27,2026-08-06T07:05:38.160Z,INR,PAID,Invoice for order ORD-500122
INV-900123,ORD-500123,CUS-200123,92522.07,2026-08-02T02:00:20.852Z,INR,PAID,Invoice for order ORD-500123
INV-900124,ORD-500124,CUS-200124,73702.72,2026-07-18T00:23:36.164Z,INR,PAID,Invoice for order ORD-500124
INV-900125,ORD-500125,CUS-200125,5986.67,2026-07-20T04:10:05.208Z,INR,PAID,Invoice for order ORD-500125
INV-900126,ORD-500126,CUS-200126,50648.34,2026-08-12T10:43:32.308Z,INR,PAID,Invoice for order ORD-500126
INV-900127,ORD-500127,CUS-200127,81010.36,2026-08-21T05:24:40.820Z,INR,PAID,Invoice for order ORD-500127
INV-900128,ORD-500128,CUS-200128,63736.16,2026-08-02T14:39:11.523Z,INR,PAID,Invoice for order ORD-500128
INV-900129,ORD-500129,CUS-200129,38632.93,2026-07-10T17:30:59.311Z,INR,PAID,Invoice for order ORD-500129
INV-900130,ORD-500130,CUS-200130,32018.08,2026-08-27T02:32:23.062Z,INR,PAID,Invoice for order ORD-500130
INV-900131,ORD-500131,CUS-200131,61646.66,2026-07-13T06:11:38.411Z,INR,PAID,Invoice for order ORD-500131
INV-900132,ORD-500132,CUS-200132,72081.52,2026-08-12T16:03:39.326Z,INR,PAID,Invoice for order ORD-500132
INV-900133,ORD-500133,CUS-200133,16735.91,2026-08-15T22:10:51.255Z,INR,PAID,Invoice for order ORD-500133
INV-900134,ORD-500134,CUS-200134,51082.61,2026-07-11T00:26:49.229Z,INR,PAID,Invoice for order ORD-500134
INV-900135,ORD-500135,CUS-200135,83779,2026-08-05T03:08:46.195Z,INR,PAID,Invoice for order ORD-500135
INV-900136,ORD-500136,CUS-200136,39094.31,2026-07-12T04:39:47.875Z,INR,PAID,Invoice for order ORD-500136
INV-900137,ORD-500137,CUS-200137,97073.34,2026-08-29T22:34:04.218Z,INR,PAID,Invoice for order ORD-500137
INV-900138,ORD-500138,CUS-200138,79210.6,2026-08-21T10:41:43.719Z,INR,PAID,Invoice for order ORD-500138
INV-900139,ORD-500139,CUS-200139,88776.66,2026-08-06T01:06:42.952Z,INR,PAID,Invoice for order ORD-500139
INV-900140,ORD-500140,CUS-200140,28717.37,2026-08-27T12:15:18.774Z,INR,PAID,Invoice for order ORD-500140
INV-900141,ORD-500141,CUS-200141,89550.71,2026-08-14T12:50:53.126Z,INR,PAID,Invoice for order ORD-500141
INV-900142,ORD-500142,CUS-200142,28450.91,2026-07-02T18:03:26.776Z,INR,PAID,Invoice for order ORD-500142
INV-900143,ORD-500143,CUS-200143,74593.33,2026-08-16T03:22:45.210Z,INR,PAID,Invoice for order ORD-500143
INV-900144,ORD-500144,CUS-200144,10882.46,2026-07-15T10:50:38.601Z,INR,PAID,Invoice for order ORD-500144
INV-900145,ORD-500145,CUS-200145,12242.58,2026-07-09T04:08:30.860Z,INR,PAID,Invoice for order ORD-500145
INV-900146,ORD-500146,CUS-200146,84213.48,2026-08-16T04:02:23.610Z,INR,PAID,Invoice for order ORD-500146
INV-900147,ORD-500147,CUS-200147,78578.45,2026-08-28T09:15:05.635Z,INR,PAID,Invoice for order ORD-500147
INV-900148,ORD-500148,CUS-200148,23707.59,2026-08-27T17:49:29.971Z,INR,PAID,Invoice for order ORD-500148
INV-900149,ORD-500149,CUS-200149,3425.23,2026-08-27T12:49:16.347Z,INR,PAID,Invoice for order ORD-500149
INV-900150,ORD-500150,CUS-200150,79241.95,2026-07-17T21:59:36.377Z,INR,PAID,Invoice for order ORD-500150
INV-900151,ORD-500151,CUS-200151,11316.63,2026-07-09T16:10:28.303Z,INR,PAID,Invoice for order ORD-500151
INV-900152,ORD-500152,CUS-200152,67700.77,2026-08-04T19:44:31.958Z,INR,PAID,Invoice for order ORD-500152
INV-900153,ORD-500153,CUS-200153,85417.79,2026-07-09T10:18:14.511Z,INR,PAID,Invoice for order ORD-500153
INV-900154,ORD-500154,CUS-200154,70776.35,2026-08-29T17:59:40.553Z,INR,PAID,Invoice for order ORD-500154
INV-900155,ORD-500155,CUS-200155,98549.81,2026-07-31T09:47:30.860Z,INR,PAID,Invoice for order ORD-500155
INV-900156,ORD-500156,CUS-200156,8256.31,2026-07-15T02:30:39.903Z,INR,PAID,Invoice for order ORD-500156
INV-900157,ORD-500157,CUS-200157,324.03,2026-07-17T23:42:58.123Z,INR,PAID,Invoice for order ORD-500157
INV-900158,ORD-500158,CUS-200158,12079.48,2026-07-07T13:22:35.672Z,INR,PAID,Invoice for order ORD-500158
INV-900159,ORD-500159,CUS-200159,15911.79,2026-07-30T06:18:23.531Z,INR,PAID,Invoice for order ORD-500159
INV-900160,ORD-500160,CUS-200160,87404.54,2026-07-15T20:58:34.597Z,INR,PAID,Invoice for order ORD-500160
INV-900161,ORD-500161,CUS-200161,62042.09,2026-07-06T13:47:41.499Z,INR,PAID,Invoice for order ORD-500161
INV-900162,ORD-500162,CUS-200162,30875.19,2026-07-15T18:47:00.448Z,INR,PAID,Invoice for order ORD-500162
INV-900163,ORD-500163,CUS-200163,20979.87,2026-08-04T03:31:15.026Z,INR,PAID,Invoice for order ORD-500163
INV-900164,ORD-500164,CUS-200164,73350.83,2026-07-30T19:40:50.831Z,INR,PAID,Invoice for order ORD-500164
INV-900165,ORD-500165,CUS-200165,97784.21,2026-08-23T18:24:36.092Z,INR,PAID,Invoice for order ORD-500165
INV-900166,ORD-500166,CUS-200166,55022.16,2026-07-30T10:37:22.263Z,INR,PAID,Invoice for order ORD-500166
INV-900167,ORD-500167,CUS-200167,19523.23,2026-07-14T15:55:55.314Z,INR,PAID,Invoice for order ORD-500167
INV-900168,ORD-500168,CUS-200168,96314.97,2026-07-11T04:43:15.324Z,INR,PAID,Invoice for order ORD-500168
INV-900169,ORD-500169,CUS-200169,70823.68,2026-07-26T00:04:37.953Z,INR,PAID,Invoice for order ORD-500169
INV-900170,ORD-500170,CUS-200170,48221.57,2026-08-08T09:47:31.036Z,INR,PAID,Invoice for order ORD-500170
INV-900171,ORD-500171,CUS-200171,20302.83,2026-07-07T16:15:25.268Z,INR,PAID,Invoice for order ORD-500171
INV-900172,ORD-500172,CUS-200172,50356.73,2026-08-27T02:33:44.036Z,INR,PAID,Invoice for order ORD-500172
INV-900173,ORD-500173,CUS-200173,7161.34,2026-08-23T12:50:17.068Z,INR,PAID,Invoice for order ORD-500173
INV-900174,ORD-500174,CUS-200174,45632.07,2026-08-24T18:33:07.463Z,INR,PAID,Invoice for order ORD-500174
INV-900175,ORD-500175,CUS-200175,63152.42,2026-07-02T10:45:43.193Z,INR,PAID,Invoice for order ORD-500175
INV-900176,ORD-500176,CUS-200176,60248.63,2026-08-04T07:41:28.838Z,INR,PAID,Invoice for order ORD-500176
INV-900177,ORD-500177,CUS-200177,70578.54,2026-07-06T21:52:58.561Z,INR,PAID,Invoice for order ORD-500177
INV-900178,ORD-500178,CUS-200178,3440.54,2026-08-22T05:25:35.638Z,INR,PAID,Invoice for order ORD-500178
INV-900179,ORD-500179,CUS-200179,27745.41,2026-07-07T14:46:18.218Z,INR,PAID,Invoice for order ORD-500179
INV-900180,ORD-500180,CUS-200180,41931.76,2026-07-24T05:58:43.575Z,INR,PAID,Invoice for order ORD-500180
INV-900181,ORD-500181,CUS-200181,57119.07,2026-08-04T17:17:25.794Z,INR,PAID,Invoice for order ORD-500181
INV-900182,ORD-500182,CUS-200182,912.03,2026-08-10T13:59:50.043Z,INR,PAID,Invoice for order ORD-500182
INV-900183,ORD-500183,CUS-200183,55127.25,2026-08-07T19:44:00.576Z,INR,PAID,Invoice for order ORD-500183
INV-900184,ORD-500184,CUS-200184,6465.71,2026-07-19T07:37:39.489Z,INR,PAID,Invoice for order ORD-500184
INV-900185,ORD-500185,CUS-200185,2616.96,2026-07-24T19:15:35.314Z,INR,PAID,Invoice for order ORD-500185
INV-900186,ORD-500186,CUS-200186,59717.33,2026-08-22T04:28:26.915Z,INR,PAID,Invoice for order ORD-500186
INV-900187,ORD-500187,CUS-200187,41368.05,2026-07-02T15:12:38.746Z,INR,PAID,Invoice for order ORD-500187
INV-900188,ORD-500188,CUS-200188,85058.44,2026-07-14T16:35:00.028Z,INR,PAID,Invoice for order ORD-500188
INV-900189,ORD-500189,CUS-200189,25462.56,2026-07-25T23:12:33.697Z,INR,PAID,Invoice for order ORD-500189
INV-900190,ORD-500190,CUS-200190,69111.66,2026-07-16T19:54:49.988Z,INR,PAID,Invoice for order ORD-500190
INV-900191,ORD-500191,CUS-200191,84265.09,2026-07-27T14:10:53.485Z,INR,PAID,Invoice for order ORD-500191
INV-900192,ORD-500192,CUS-200192,76937.03,2026-08-30T03:16:45.025Z,INR,PAID,Invoice for order ORD-500192
INV-900193,ORD-500193,CUS-200193,49273.89,2026-07-18T03:07:06.256Z,INR,PAID,Invoice for order ORD-500193
INV-900194,ORD-500194,CUS-200194,30812.78,2026-08-07T02:57:40.613Z,INR,PAID,Invoice for order ORD-500194
INV-900195,ORD-500195,CUS-200195,92699.91,2026-07-23T12:00:58.717Z,INR,PAID,Invoice for order ORD-500195
INV-900196,ORD-500196,CUS-200196,45095.42,2026-07-14T17:35:34.249Z,INR,PAID,Invoice for order ORD-500196
INV-900197,ORD-500197,CUS-200197,75115.63,2026-07-13T14:29:07.630Z,INR,PAID,Invoice for order ORD-500197
INV-900198,ORD-500198,CUS-200198,63202.18,2026-07-11T12:59:22.244Z,INR,PAID,Invoice for order ORD-500198
INV-900199,ORD-500199,CUS-200199,89929.67,2026-08-04T08:30:39.313Z,INR,PAID,Invoice for order ORD-500199
INV-900200,ORD-500200,CUS-200200,13429.76,2026-08-23T19:53:20.342Z,INR,PAID,Invoice for order ORD-500200
INV-900201,ORD-500201,CUS-200201,99482.84,2026-07-20T05:16:44.239Z,INR,PAID,Invoice for order ORD-500201
INV-900202,ORD-500202,CUS-200202,29047.51,2026-07-22T23:30:49.314Z,INR,PAID,Invoice for order ORD-500202
INV-900203,ORD-500203,CUS-200203,69767.53,2026-07-21T02:20:55.736Z,INR,PAID,Invoice for order ORD-500203
INV-900204,ORD-500204,CUS-200204,40547.64,2026-07-05T01:01:21.113Z,INR,PAID,Invoice for order ORD-500204
INV-900205,ORD-500205,CUS-200205,97941.61,2026-07-13T12:15:18.627Z,INR,PAID,Invoice for order ORD-500205
INV-900206,ORD-500206,CUS-200206,74519.97,2026-07-01T03:45:10.467Z,INR,PAID,Invoice for order ORD-500206
INV-900207,ORD-500207,CUS-200207,87781.61,2026-08-04T04:22:05.568Z,INR,PAID,Invoice for order ORD-500207
INV-900208,ORD-500208,CUS-200208,72411.9,2026-08-11T07:10:41.233Z,INR,PAID,Invoice for order ORD-500208
INV-900209,ORD-500209,CUS-200209,19793.77,2026-07-07T15:01:05.668Z,INR,PAID,Invoice for order ORD-500209
INV-900210,ORD-500210,CUS-200210,95554.85,2026-07-06T23:12:56.185Z,INR,PAID,Invoice for order ORD-500210
INV-900211,ORD-500211,CUS-200211,95817.34,2026-07-27T19:00:31.903Z,INR,PAID,Invoice for order ORD-500211
INV-900212,ORD-500212,CUS-200212,99855.13,2026-08-17T20:25:13.273Z,INR,PAID,Invoice for order ORD-500212
INV-900213,ORD-500213,CUS-200213,63808.04,2026-08-02T05:11:50.653Z,INR,PAID,Invoice for order ORD-500213
INV-900214,ORD-500214,CUS-200214,68678.86,2026-08-21T07:11:00.774Z,INR,PAID,Invoice for order ORD-500214
INV-900215,ORD-500215,CUS-200215,52122.8,2026-07-30T03:18:48.626Z,INR,PAID,Invoice for order ORD-500215
INV-900216,ORD-500216,CUS-200216,73075.57,2026-08-29T20:49:48.144Z,INR,PAID,Invoice for order ORD-500216
INV-900217,ORD-500217,CUS-200217,31534.55,2026-07-25T08:06:59.252Z,INR,PAID,Invoice for order ORD-500217
INV-900218,ORD-500218,CUS-200218,11602.53,2026-07-27T05:58:08.730Z,INR,PAID,Invoice for order ORD-500218
INV-900219,ORD-500219,CUS-200219,65131.83,2026-07-24T05:51:32.557Z,INR,PAID,Invoice for order ORD-500219
INV-900220,ORD-500220,CUS-200220,49200.68,2026-08-26T01:06:04.900Z,INR,PAID,Invoice for order ORD-500220
INV-900221,ORD-500221,CUS-200221,76195.08,2026-07-16T05:19:49.350Z,INR,PAID,Invoice for order ORD-500221
INV-900222,ORD-500222,CUS-200222,62151.2,2026-07-01T14:49:15.490Z,INR,PAID,Invoice for order ORD-500222
INV-900223,ORD-500223,CUS-200223,54234.46,2026-08-23T15:59:32.480Z,INR,PAID,Invoice for order ORD-500223
INV-900224,ORD-500224,CUS-200224,74978.94,2026-08-15T19:28:29.915Z,INR,PAID,Invoice for order ORD-500224
