bankTransactionId,referenceId,amount,transactionDate,currency,type,status,description
BANK-700038,PAY-100038,59901.97,2026-08-14T17:25:04.471Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500038
BANK-700039,PAY-100039,88226.76,2026-08-11T23:25:25.147Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500039
BANK-700040,PAY-100040,27821.54,2026-07-17T05:42:34.840Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500040
BANK-700041,PAY-100041,44188.91,2026-08-11T06:57:41.597Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500041
BANK-700042,PAY-100042,69291.29,2026-07-23T14:32:32.691Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500042
BANK-700043,PAY-100043,75388.51,2026-07-20T16:08:24.441Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500043
BANK-700044,PAY-100044,79564.57,2026-07-13T21:05:30.288Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500044
BANK-700045,PAY-100045,69793.01,2026-07-29T16:21:52.797Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500045
BANK-700046,PAY-100046,22831.43,2026-09-01T09:43:36.287Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500046
BANK-700047,PAY-100047,11954.06,2026-08-06T20:45:39.641Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500047
BANK-700048,PAY-100048,15238.98,2026-09-01T00:45:29.742Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500048
BANK-700049,PAY-100049,22465.53,2026-08-26T00:51:52.476Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500049
BANK-700050,PAY-100050,9230.43,2026-08-27T18:14:28.803Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500050
BANK-700051,PAY-100051,89089.22,2026-08-19T04:05:19.016Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500051
BANK-700053,PAY-100053,42424.79,2026-08-19T09:46:31.258Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500053
BANK-700054,PAY-100054,23109.06,2026-08-22T17:33:20.425Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500054
BANK-700055,PAY-100055,43446.88,2026-07-10T10:07:33.188Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500055
BANK-700056,PAY-100056,44913.85,2026-07-25T05:40:10.003Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500056
BANK-700057,PAY-100057,23252.19,2026-08-19T13:14:04.207Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500057
BANK-700058,PAY-100058,18469.02,2026-07-22T01:09:29.343Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500058
BANK-700060,PAY-100060,4185.69,2026-07-09T13:55:54.407Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500060
BANK-700061,PAY-100061,25961.42,2026-08-14T11:33:07.665Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500061
BANK-700062,PAY-100062,18062.28,2026-08-16T23:01:27.496Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500062
BANK-700063,PAY-100063,98160.99,2026-07-29T00:06:39.938Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500063
BANK-700064,PAY-100064,19696.48,2026-08-02T02:10:08.996Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500064
BANK-700065,PAY-100065,23522.95,2026-08-25T13:48:07.961Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500065
BANK-700066,PAY-100066,92909.8,2026-08-12T09:36:30.684Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500066
BANK-700067,PAY-100067,34639.43,2026-08-18T21:09:34.228Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500067
BANK-700068,PAY-100068,7846.14,2026-08-24T03:13:58.619Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500068
BANK-700069,PAY-100069,45086.17,2026-07-10T18:01:51.996Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500069
BANK-700070,PAY-100070,51193.3,2026-07-15T10:14:03.067Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500070
BANK-700072,PAY-100072,39297.98,2026-08-25T07:43:37.243Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500072
BANK-700073,PAY-100073,15916.15,2026-07-14T11:27:29.711Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500073
BANK-700074,PAY-100074,99318.4,2026-08-20T02:45:26.031Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500074
BANK-700076,PAY-100076,22553.5,2026-07-22T18:15:40.259Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500076
BANK-700077,PAY-100077,12637.49,2026-08-21T15:02:38.413Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500077
BANK-700078,PAY-100078,66622.55,2026-08-20T09:22:41.423Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500078
BANK-700079,PAY-100079,88761.47,2026-08-13T15:05:05.231Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500079
BANK-700080,PAY-100080,15511.85,2026-07-22T01:32:26.162Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500080
BANK-700082,PAY-100082,4976.29,2026-08-17T11:28:39.177Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500082
BANK-700083,PAY-100083,38386.23,2026-07-19T09:43:31.579Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500083
BANK-700084,PAY-100084,92649.89,2026-07-21T10:09:57.604Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500084
BANK-700085,PAY-100085,78673.64,2026-08-11T04:12:54.001Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500085
BANK-700087,PAY-100087,39390.25,2026-07-10T22:02:43.906Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500087
BANK-700088,PAY-100088,19133.81,2026-07-20T08:01:11.823Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500088
BANK-700089,PAY-100089,59894.81,2026-07-07T00:10:37.630Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500089
BANK-700090,PAY-100090,88602.48,2026-08-11T10:42:38.251Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500090
BANK-700091,PAY-100091,5565.76,2026-08-19T11:07:50.675Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500091
BANK-700092,PAY-100092,7148.25,2026-08-05T19:06:50.452Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500092
BANK-700094,PAY-100094,77113.51000000001,2026-08-07T21:51:09.660Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500094
BANK-700095,PAY-100095,63407.53,2026-07-30T00:24:53.554Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500095
BANK-700096,PAY-100096,58503.78,2026-08-27T01:46:18.693Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500096
BANK-700097,PAY-100097,48056.9,2026-08-24T19:14:28.523Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500097
BANK-700098,PAY-100098,33643.9,2026-08-22T09:19:29.469Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500098
BANK-700100,PAY-100100,17958.79,2026-08-03T08:01:23.875Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500100
BANK-700101,PAY-100101,34667.439999999995,2026-08-30T14:46:18.198Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500101
BANK-700102,PAY-100102,29518.2,2026-07-26T00:00:35.409Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500102
BANK-700104,PAY-100104,89066.64,2026-08-09T18:05:03.384Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500104
BANK-700105,PAY-100105,75148.97,2026-07-18T17:59:24.361Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500105
BANK-700106,PAY-100106,834.63,2026-07-09T21:28:30.878Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500106
BANK-700107,PAY-100107,69376.96,2026-07-19T01:15:15.740Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500107
BANK-700108,PAY-100108,90834.06,2026-07-10T21:47:51.967Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500108
BANK-700109,PAY-100109,45153.65,2026-09-01T04:02:24.382Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500109
BANK-700110,PAY-100110,74085.01,2026-08-31T18:28:23.175Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500110
BANK-700112,PAY-100112,54151.71,2026-08-13T12:54:38.412Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500112
BANK-700113,PAY-100113,6672.21,2026-08-18T11:18:56.394Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500113
BANK-700114,PAY-100114,83510.25,2026-08-20T15:27:46.118Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500114
BANK-700115,PAY-100115,54601.67,2026-08-29T09:19:13.604Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500115
BANK-700116,PAY-100116,86632.84,2026-08-16T00:03:41.601Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500116
BANK-700117,PAY-100117,36320.85,2026-07-18T02:19:32.389Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500117
BANK-700118,PAY-100118,15663.46,2026-08-08T20:01:57.042Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500118
BANK-700119,PAY-100119,84235.72,2026-07-22T08:38:57.513Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500119
BANK-700120,PAY-100120,56870.99,2026-08-18T00:21:15.939Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500120
BANK-700121,PAY-100121,44954.95,2026-08-16T01:03:03.175Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500121
BANK-700122,PAY-100122,44572.27,2026-08-08T08:05:38.160Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500122
BANK-700123,PAY-100123,92522.07,2026-08-03T08:00:20.852Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500123
BANK-700124,PAY-100124,73523.15,2026-07-19T11:23:36.164Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500124
BANK-700126,PAY-100126,50648.34,2026-08-14T01:43:32.308Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500126
BANK-700127,PAY-100127,81010.36,2026-09-13T09:24:40.820Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500127
BANK-700128,PAY-100128,63736.16,2026-08-24T11:39:11.523Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500128
BANK-700129,PAY-100129,38632.93,2026-07-13T01:30:59.311Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500129
BANK-700130,PAY-100130,32018.08,2026-08-29T16:32:23.062Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500130
BANK-700131,PAY-100131,61646.66,2026-08-06T03:11:38.411Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500131
BANK-700132,PAY-100132,72081.52,2026-08-14T21:03:39.326Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500132
BANK-700133,PAY-100133,16735.91,2026-08-18T19:10:51.255Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500133
BANK-700134,PAY-100134,51082.61,2026-07-12T21:26:49.229Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500134
BANK-700135,PAY-100135,83779,2026-08-07T09:08:46.195Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500135
BANK-700136,PAY-100136,39094.31,2026-07-13T19:39:47.875Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500136
BANK-700137,PAY-100137,96956.86,2026-09-01T00:34:04.218Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500137
BANK-700138,PAY-100138,79210.6,2026-08-22T11:41:43.719Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500138
BANK-700139,PAY-100139,88776.66,2026-08-08T20:06:42.952Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500139
BANK-700140,PAY-100140,28717.37,2026-08-31T08:15:18.774Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500140
BANK-700141,PAY-100141,89550.71,2026-08-16T16:50:53.126Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500141
BANK-700142,PAY-100142,28450.91,2026-07-06T14:03:26.776Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500142
BANK-700144,PAY-100144,10882.46,2026-07-18T20:50:38.601Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500144
BANK-700146,PAY-100146,84213.48,2026-08-18T17:02:23.610Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500146
BANK-700147,PAY-100147,78578.45,2026-09-01T09:15:05.635Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500147
BANK-700149,PAY-100149,3425.23,2026-08-29T02:49:16.347Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500149
BANK-700150,PAY-100150,79241.95,2026-07-21T16:59:36.377Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500150
BANK-700151,PAY-100151,11316.63,2026-07-10T18:10:28.303Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500151
BANK-700152,PAY-100152,67700.77,2026-08-08T10:44:31.958Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500152
BANK-700153,PAY-100153,85417.79,2026-07-12T16:18:14.511Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500153
BANK-700154,PAY-100154,70776.35,2026-08-31T16:59:40.553Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500154
BANK-700155,PAY-100155,98549.81,2026-08-02T11:47:30.860Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500155
BANK-700156,PAY-100156,8256.31,2026-07-17T03:30:39.903Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500156
BANK-700157,PAY-100157,324.03,2026-07-19T21:42:58.123Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500157
BANK-700158,PAY-100158,12079.48,2026-07-11T13:22:35.672Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500158
BANK-700160,PAY-100160,87404.54,2026-07-18T20:58:34.597Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500160
BANK-700161,PAY-100161,62042.09,2026-07-07T14:47:41.499Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500161
BANK-700162,PAY-100162,30875.19,2026-07-18T10:47:00.448Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500162
BANK-700163,PAY-100163,20979.87,2026-08-06T08:31:15.026Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500163
BANK-700164,PAY-100164,73350.83,2026-08-03T11:40:50.831Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500164
BANK-700165,PAY-100165,97784.21,2026-08-25T17:24:36.092Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500165
BANK-700166,PAY-100166,55022.16,2026-07-31T16:37:22.263Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500166
BANK-700167,PAY-100167,19523.23,2026-07-17T16:55:55.314Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500167
BANK-700168,PAY-100168,96314.97,2026-07-13T01:43:15.324Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500168
BANK-700169,PAY-100169,70823.68,2026-07-28T22:04:37.953Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500169
BANK-700171,PAY-100171,20302.83,2026-07-10T04:15:25.268Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500171
BANK-700172,PAY-100172,50356.73,2026-08-29T14:33:44.036Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500172
BANK-700173,PAY-100173,7161.34,2026-08-26T13:50:17.068Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500173
BANK-700174,PAY-100174,45632.07,2026-08-27T12:33:07.463Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500174
BANK-700175,PAY-100175,63152.42,2026-07-05T09:45:43.193Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500175
BANK-700176,PAY-100176,60248.63,2026-08-06T05:41:28.838Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500176
BANK-700177,PAY-100177,70578.54,2026-07-10T03:52:58.561Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500177
BANK-700178,PAY-100178,3333.52,2026-08-26T00:25:35.638Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500178
BANK-700179,PAY-100179,27745.41,2026-07-10T11:46:18.218Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500179
BANK-700181,PAY-100181,57119.07,2026-08-08T15:17:25.794Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500181
BANK-700182,PAY-100182,912.03,2026-08-11T22:59:50.043Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500182
BANK-700183,PAY-100183,55127.25,2026-08-10T04:44:00.576Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500183
BANK-700184,PAY-100184,6465.71,2026-07-23T01:37:39.489Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500184
BANK-700185,PAY-100185,2616.96,2026-07-27T15:15:35.314Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500185
BANK-700186,PAY-100186,59717.33,2026-08-23T22:28:26.915Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500186
BANK-700187,PAY-100187,41368.05,2026-07-05T07:12:38.746Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500187
BANK-700189,PAY-100189,25462.56,2026-07-28T10:12:33.697Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500189
BANK-700190,PAY-100190,69111.66,2026-07-19T02:54:49.988Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500190
BANK-700191,PAY-100191,84265.09,2026-07-31T04:10:53.485Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500191
BANK-700192,PAY-100192,76937.03,2026-09-02T13:16:45.025Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500192
BANK-700193,PAY-100193,49273.89,2026-07-19T22:07:06.256Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500193
BANK-700194,PAY-100194,30812.78,2026-08-09T16:57:40.613Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500194
BANK-700195,PAY-100195,92699.91,2026-07-26T01:00:58.717Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500195
BANK-700196,PAY-100196,45095.42,2026-07-15T21:35:34.249Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500196
BANK-700197,PAY-100197,75115.63,2026-07-16T06:29:07.630Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500197
BANK-700198,PAY-100198,63202.18,2026-07-13T02:59:22.244Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500198
BANK-700199,PAY-100199,89929.67,2026-08-17T12:30:39.313Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500199
BANK-700200,PAY-100200,13429.76,2026-08-25T07:53:20.342Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500200
BANK-700201,PAY-100201,99482.84,2026-07-23T18:16:44.239Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500201
BANK-700202,PAY-100202,29047.51,2026-07-24T05:30:49.314Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500202
BANK-700203,PAY-100203,69767.53,2026-07-23T08:20:55.736Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500203
BANK-700204,PAY-100204,40547.64,2026-07-07T18:01:21.113Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500204
BANK-700205,PAY-100205,97941.61,2026-07-16T02:15:18.627Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500205
BANK-700206,PAY-100206,74519.97,2026-07-04T21:45:10.467Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500206
BANK-700207,PAY-100207,87781.61,2026-08-06T10:22:05.568Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500207
BANK-700208,PAY-100208,72411.9,2026-08-28T14:10:41.233Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500208
BANK-700210,PAY-100210,95554.85,2026-07-08T19:12:56.185Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500210
BANK-700212,PAY-100212,99855.13,2026-08-20T09:25:13.273Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500212
BANK-700213,PAY-100213,63808.04,2026-08-03T12:11:50.653Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500213
BANK-700214,PAY-100214,68678.86,2026-08-23T03:11:00.774Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500214
BANK-700215,PAY-100215,52122.8,2026-08-01T20:18:48.626Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500215
BANK-700216,PAY-100216,73075.57,2026-09-01T13:49:48.144Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500216
BANK-700217,PAY-100217,31534.55,2026-07-28T08:06:59.252Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500217
BANK-700218,PAY-100218,11602.53,2026-07-29T18:58:08.730Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500218
BANK-700219,PAY-100219,65131.83,2026-07-25T10:51:32.557Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500219
BANK-700220,PAY-100220,48813.13,2026-08-28T04:06:04.900Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500220
BANK-700221,PAY-100221,76195.08,2026-07-20T05:19:49.350Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500221
BANK-700222,PAY-100222,62151.2,2026-07-03T03:49:15.490Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500222
BANK-700223,PAY-100223,54234.46,2026-08-26T23:59:32.480Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500223
BANK-700224,PAY-100224,74978.94,2026-08-18T14:28:29.915Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500224
BANK-700225,PAY-100225,95216.23,2026-08-11T15:24:14.756Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500225
BANK-700226,PAY-100226,90183.09,2026-08-10T09:21:12.540Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500226
BANK-700227,PAY-100227,34239.53,2026-08-12T18:44:45.032Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500227
BANK-700228,PAY-100228,30936.18,2026-08-05T20:52:55.440Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500228
BANK-700229,PAY-100229,34447.58,2026-07-09T18:18:30.791Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500229
BANK-700230,PAY-100230,80317.67,2026-07-07T01:22:26.908Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500230
BANK-700231,PAY-100231,57309,2026-08-24T18:48:27.489Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500231
BANK-700232,PAY-100232,87907.04,2026-07-28T16:10:27.535Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500232
BANK-700233,PAY-100233,482.1,2026-07-16T13:48:31.748Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500233
BANK-700234,PAY-100234,50773.09,2026-07-10T09:59:05.037Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500234
